epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 0.8374999999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 6, 0
.01, 1.05625, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 11, 0
.01, 0.9468749999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 36, 0
.01, 0.8921874999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 11, 0
.01, 0.9195312499999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 18, 0
.01, 0.9332031249999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 41, 0
.01, 0.9400390624999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 46, 0
.01, 0.9366210937499999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 56, 0
.01, 0.9349121093749999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 5, 0
.01, 1.05625, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 24, 0
.01, 0.9468749999999999, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 9, 0
.01, 1.0015625, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 17, 0
.01, 1.02890625, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 49, 0
.01, 1.015234375, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 25, 0
.01, 1.0220703125, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 39, 0
.01, 1.02548828125, 1, 50, 9.0, 12.0, 0.75, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 8, 0
.01, 0.8374999999999999, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 2, 4, 0
.01, 1.05625, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 2, 11, 0
.01, 1.165625, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 20, 0
.01, 1.1109375, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 2, 26, 0
.01, 1.13828125, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 32, 0
.01, 1.124609375, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 1, 18, 0
.01, 0.8374999999999999, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 4, 0
.01, 1.05625, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 7, 0
.01, 1.165625, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 13, 0
.01, 1.2203125, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 29, 0
.01, 1.24765625, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 1, 31, 0
.01, 1.233984375, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 2, 13, 0
.01, 1.7125, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 4, 0
.01, 1.49375, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 7, 0
.01, 1.384375, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 20, 0
.01, 1.3296875, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 2, 24, 0
.01, 1.35703125, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 13.0, 8.0, 1.625, 23.0, 2, 8, 0
.01, 1.7125, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 5, 0
.01, 1.49375, 1, 50, 13.0, 8.0, 1.625, 23.0, 2, 55, 0
.01, 1.603125, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 8, 0
.01, 1.5484375, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 12, 0
.01, 1.52109375, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 19, 0
.01, 1.507421875, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 31, 0
.01, 1.5005859375, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 57, 0
.01, 1.49716796875, 1, 50, 13.0, 8.0, 1.625, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 14.0, 7.0, 2.0, 23.0, 1, 3, 0
.01, 1.275, 1, 50, 14.0, 7.0, 2.0, 23.0, 2, 6, 0
.01, 1.7125, 1, 50, 14.0, 7.0, 2.0, 23.0, 1, 10, 0
.01, 1.49375, 1, 50, 14.0, 7.0, 2.0, 23.0, 2, 11, 0
.01, 1.603125, 1, 50, 14.0, 7.0, 2.0, 23.0, 2, 21, 0
.01, 1.6578125, 1, 50, 14.0, 7.0, 2.0, 23.0, 2, 51, 0
.01, 1.68515625, 1, 50, 14.0, 7.0, 2.0, 23.0, 1, 15, 0
.01, 1.671484375, 1, 50, 14.0, 7.0, 2.0, 23.0, 1, 28, 0
.01, 1.6646484375, 1, 50, 14.0, 7.0, 2.0, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 15.0, 6.0, 2.5, 23.0, 1, 3, 0
.01, 1.275, 1, 50, 15.0, 6.0, 2.5, 23.0, 2, 5, 0
.01, 1.7125, 1, 50, 15.0, 6.0, 2.5, 23.0, 2, 14, 0
.01, 1.93125, 1, 50, 15.0, 6.0, 2.5, 23.0, 1, 7, 0
.01, 1.821875, 1, 50, 15.0, 6.0, 2.5, 23.0, 2, 29, 0
.01, 1.8765625, 1, 50, 15.0, 6.0, 2.5, 23.0, 1, 12, 0
.01, 1.84921875, 1, 50, 15.0, 6.0, 2.5, 23.0, 2, 43, 0
.01, 1.862890625, 1, 50, 15.0, 6.0, 2.5, 23.0, 2, 60, 0
.01, 1.8697265625, 1, 50, 15.0, 6.0, 2.5, 23.0, 1, 15, 0
.01, 1.86630859375, 1, 50, 15.0, 6.0, 2.5, 23.0, 1, 19, 0
.01, 1.864599609375, 1, 50, 15.0, 6.0, 2.5, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 6, 0
.01, 1.275, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 4, 0
.01, 1.7125, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 8, 0
.01, 1.93125, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 15, 0
.01, 2.040625, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 26, 0
.01, 2.0953125, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 43, 0
.01, 2.12265625, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 7, 0
.01, 2.108984375, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 8, 0
.01, 2.1021484375, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 10, 0
.01, 2.09873046875, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 11, 0
.01, 2.097021484375, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 11, 0
.01, 2.0961669921875, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 12, 0
.01, 2.09573974609375, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 43, 0
.01, 2.095953369140625, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 13, 0
.01, 2.0958465576171874, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 43, 0
.01, 2.095899963378906, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 13, 0
.01, 2.095873260498047, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 13, 0
.01, 2.095859909057617, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 43, 0
.01, 2.095866584777832, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 2, 43, 0
.01, 2.0958699226379394, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 1, 13, 0
.01, 2.0958682537078857, 1, 50, 16.0, 5.0, 3.2000000000000002, 23.0, 3, 13, 1
.01, 2.15, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 14, 0
.01, 3.025, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 2, 0
.01, 2.5875, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 3, 0
.01, 2.36875, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 31, 0
.01, 2.478125, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 4, 0
.01, 2.4234375, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 5, 0
.01, 2.39609375, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 6, 0
.01, 2.382421875, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 7, 0
.01, 2.3755859375, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 8, 0
.01, 2.37216796875, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 31, 0
.01, 2.373876953125, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 32, 0
.01, 2.3747314453125, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 32, 0
.01, 2.37515869140625, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 9, 0
.01, 2.374945068359375, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 9, 0
.01, 2.3748382568359374, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 32, 0
.01, 2.374891662597656, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 9, 0
.01, 2.374864959716797, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 32, 0
.01, 2.3748783111572265, 1, 50, 17.0, 4.0, 4.25, 23.0, 2, 32, 0
.01, 2.3748849868774413, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 9, 0
.01, 2.374881649017334, 1, 50, 17.0, 4.0, 4.25, 23.0, 1, 9, 0
.01, 2.37487998008728, 1, 50, 17.0, 4.0, 4.25, 23.0, 3, 9, 1
.01, 2.15, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 9, 0
.01, 3.025, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 2, 0
.01, 2.5875, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 17, 0
.01, 2.80625, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 3, 0
.01, 2.696875, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 23, 0
.01, 2.7515625, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 4, 0
.01, 2.72421875, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 25, 0
.01, 2.737890625, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 5, 0
.01, 2.7310546875, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.72763671875, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.725927734375, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 25, 0
.01, 2.7267822265625, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.72635498046875, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.726141357421875, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 25, 0
.01, 2.7262481689453124, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 25, 0
.01, 2.726301574707031, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.726274871826172, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.726261520385742, 1, 50, 18.0, 3.0, 6.0, 23.0, 1, 6, 0
.01, 2.7262548446655273, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 25, 0
.01, 2.7262581825256347, 1, 50, 18.0, 3.0, 6.0, 23.0, 2, 25, 0
.01, 2.7262598514556884, 1, 50, 18.0, 3.0, 6.0, 23.0, 3, 25, 1
.01, 2.15, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 7, 0
.01, 3.025, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 16, 0
.01, 3.4625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 2, 0
.01, 3.24375, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 3, 0
.01, 3.134375, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 19, 0
.01, 3.1890625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.16171875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 20, 0
.01, 3.175390625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1685546875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.17197265625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.170263671875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.1711181640625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.17069091796875, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.170904541015625, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707977294921874, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707443237304687, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707176208496093, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.170730972290039, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.170737648010254, 1, 50, 19.0, 2.0, 9.5, 23.0, 1, 4, 0
.01, 3.1707343101501464, 1, 50, 19.0, 2.0, 9.5, 23.0, 2, 21, 0
.01, 3.1707359790802, 1, 50, 19.0, 2.0, 9.5, 23.0, 3, 21, 1
.01, 2.15, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 7, 0
.01, 3.025, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 10, 0
.01, 3.4625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 14, 0
.01, 3.68125, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 2, 0
.01, 3.571875, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 16, 0
.01, 3.6265625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 18, 0
.01, 3.65390625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.667578125, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.6607421875, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.65732421875, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.659033203125, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.6581787109375, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.65775146484375, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.657965087890625, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.6580718994140624, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.658125305175781, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.6581520080566405, 1, 50, 20.0, 1.0, 20.0, 23.0, 2, 19, 0
.01, 3.6581653594970702, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.6581586837768554, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.658155345916748, 1, 50, 20.0, 1.0, 20.0, 23.0, 1, 3, 0
.01, 3.6581536769866942, 1, 50, 20.0, 1.0, 20.0, 23.0, 3, 3, 1
